familyId,strategyId,active,entry_logic,tp_method,sl_method,minRR,timeframe,symbols,issues
keylevel_bounce,keylevel_bounce,false,Structure break (15m) + zone retest,sl * 3.0,50 pips,3.0,15m,XAUUSD,Deprecated base
keylevel_bounce,keylevel_bounce_v1,true,Structure break (15m) + zone retest,sl * 3.0,50 pips,3.0,15m,XAUUSD,Partial impl
keylevel_bounce,keylevel_bounce_v1_4r,true,Structure break (15m) + zone retest,sl * 4.0,50 pips,4.0,15m,XAUUSD,HTF bias filter
keylevel_bounce,keylevel_bounce_v1_fx,true,Structure break (15m) + zone retest,sl * 4.0,50 pips,4.0,15m,EURUSD;GBPUSD,FX only
keylevel_bounce,keylevel_bounce_v1_limit,true,Structure break (15m) + zone retest,sl * 4.0,50 pips,4.0,15m,XAUUSD,Limit entry
keylevel_bounce,keylevel_bounce_v1_wider,true,Structure break (15m) + zone retest,sl * 3.0,80 pips,3.0,15m,XAUUSD,SL tweak only
keylevel_bounce,keylevel_bounce_v2,true,Structure break (15m) + zone retest (1m),sl * 4.0,ATR(15m)*2,4.0,15m/1m,XAUUSD,1m confirm added
keylevel_bounce,keylevel_bounce_v3,true,Structure break (15m) + zone retest,sl * 4.0,50 pips,4.0,15m,XAUUSD,Quality filter
keylevel_bounce,keylevel_bounce_v4,true,Structure break (15m) + zone retest,sl * 4.0,50 pips,4.0,15m,XAUUSD,4h HTF bias
keylevel_bounce,keylevel_bounce_v5_longs,true,Structure break (15m; bullish only),sl * 4.0,50 pips,4.0,15m,XAUUSD,Longs only
keylevel_bounce,keylevel_bounce_v5_shorts,true,Structure break (15m; bearish only),sl * 4.0,50 pips,4.0,15m,XAUUSD,Shorts only
keylevel_bounce,keylevel_bounce_v6_ny_overlap_shorts,true,Structure break (15m; bearish),sl * 4.0,50 pips,4.0,15m,XAUUSD,NY/OVERLAP only
keylevel_bounce,keylevel_bounce_v7_shorts_time,true,Structure break (15m; bearish),sl * 4.0,50 pips,4.0,15m,XAUUSD,Hour filter
keylevel_bounce,keylevel_bounce_v8_levels,true,Structure break (15m; bearish),nearest_profit_pivot (-2pips),50 pips,1.5,15m,XAUUSD,CONTRADICTORY minRR
keylevel_bounce,keylevel_bounce_v8b_zone_tp,true,Structure break (15m; bearish),opposing_zone_profit (-2pips),50 pips,1.5,15m,XAUUSD,CONTRADICTORY minRR
keylevel_bounce,keylevel_bounce_v8c_min3,true,Structure break (15m; bearish),nearest_profit_pivot (-2pips),50 pips,???,15m,XAUUSD,MISSING minRR
